 v-sweep         v(g_13_0)       i(v_s_14_4)     i(v_s_18_4)     i(v_s_13_2)     v(g_11_3)       v(g_12_0)       i(v_s_12_0)     i(v_s_13_4)     v(g_17_0)       i(v_s_12_1)     v(g_10_2)       v(g_11_2)       v(g_17_1)       i(v_s_16_4)     i(v_s_19_4)     i(v_s_11_0)     i(v_s_15_0)     i(v_s_12_3)     i(v_s_13_1)     v(g_11_1)       i(v_s_17_3)     v(g_19_4)       i(v_s_18_2)     i(v_s_19_1)     i(v_s_11_4)     i(v_s_17_1)     i(v_s_15_3)     v(g_10_4)       i(v_s_16_1)     i(v_s_13_3)     v(g_14_2)       v(g_16_1)       v(g_17_2)       v(g_18_0)       v(g_15_1)       v(g_18_4)       v(g_15_0)       i(v_s_15_1)     v(g_18_2)       v(g_12_3)       i(v_s_18_3)     i(v_s_11_1)     i(v_s_16_2)     i(v_s_16_3)     i(v_s_17_4)     i(v_s_18_0)     v(g_17_3)       v(g_16_4)       i(v_s_10_4)     v(g_12_4)       v(g_14_4)       i(v_s_11_2)     i(v_s_11_3)     v(g_19_2)       v(g_17_4)       v(g_11_4)       v(g_14_1)       v(g_19_0)       i(v_s_10_3)     v(g_14_3)       v(g_12_1)       i(v_s_10_0)     i(v_s_14_1)     v(g_19_1)       i(v_s_15_2)     i(v_s_13_0)     v(g_18_3)       i(v_s_19_2)     v(g_10_1)       v(g_16_3)       i(v_s_14_3)     v(g_13_3)       v(g_18_1)       v(g_14_0)       v(g_15_2)       i(v_s_18_1)     v(g_13_1)       v(g_19_3)       i(v_s_12_2)     i(v_s_17_2)     v(g_12_2)       v(g_11_0)       v(g_13_2)       i(v_s_12_4)     v(g_13_4)       i(v_s_19_3)     i(v_s_16_0)     i(v_s_15_4)     i(v_s_14_2)     v(g_15_4)       v(g_10_3)       v(g_16_0)       v(g_10_0)       i(v_s_10_1)     v(g_16_2)       v(g_15_3)       i(v_s_14_0)     i(v_s_17_0)     i(v_s_10_2)     i(v_s_19_0)    
-5.00000000e-01 -5.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -1.00010050e-12  5.05176706e-43 -5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13 -5.00000000e-01 -7.50101000e-13 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100100e-13 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01  3.71903848e-40 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -7.50100100e-13 -5.00000000e-01 -5.00100100e-13 -1.00010050e-12 -5.00000000e-01 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -2.50100094e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00100500e-13 -5.00101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  4.62982911e-43 -5.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50101000e-13 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
-4.00000000e-01 -4.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -1.00010050e-12  5.05176706e-43 -4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13 -4.00000000e-01 -7.50101000e-13 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100100e-13 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01  3.71903848e-40 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -1.00010100e-12 -7.50100100e-13 -4.00000000e-01 -5.00100100e-13 -1.00010050e-12 -4.00000000e-01 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -2.50100094e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -4.00000000e-01 -5.00100500e-13 -5.00101000e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  4.62982911e-43 -4.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50101000e-13 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
-3.00000000e-01 -3.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13 -3.00000000e-01 -3.00000000e-01 -1.00010050e-12  5.05176706e-43 -3.00000000e-01 -7.50100500e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13 -3.00000000e-01 -2.50100994e-13 -3.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13 -3.00000000e-01 -7.50101000e-13 -2.50100494e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100100e-13 -3.00000000e-01 -3.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01  3.71903848e-40 -3.00000000e-01 -3.00000000e-01 -5.00101000e-13 -2.50100994e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100994e-13 -3.00000000e-01 -3.00000000e-01 -1.00010100e-12 -7.50100100e-13 -3.00000000e-01 -5.00100100e-13 -1.00010050e-12 -3.00000000e-01 -5.00100500e-13 -3.00000000e-01 -3.00000000e-01 -2.50100094e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100500e-13 -3.00000000e-01 -3.00000000e-01 -5.00100500e-13 -5.00101000e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  4.62982911e-43 -3.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50101000e-13 -3.00000000e-01 -3.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
-2.00000000e-01 -2.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13 -2.00000000e-01 -2.00000000e-01 -1.00010050e-12  5.05176706e-43 -2.00000000e-01 -7.50100500e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13 -2.00000000e-01 -2.50100994e-13 -2.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13 -2.00000000e-01 -7.50101000e-13 -2.50100494e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50100100e-13 -2.00000000e-01 -2.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12 -2.00000000e-01 -2.00000000e-01  3.71903848e-40 -2.00000000e-01 -2.00000000e-01 -5.00101000e-13 -2.50100994e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100994e-13 -2.00000000e-01 -2.00000000e-01 -1.00010100e-12 -7.50100100e-13 -2.00000000e-01 -5.00100100e-13 -1.00010050e-12 -2.00000000e-01 -5.00100500e-13 -2.00000000e-01 -2.00000000e-01 -2.50100094e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50100500e-13 -2.00000000e-01 -2.00000000e-01 -5.00100500e-13 -5.00101000e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  4.62982911e-43 -2.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50101000e-13 -2.00000000e-01 -2.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
-1.00000000e-01 -1.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13 -1.00000000e-01 -1.00000000e-01 -1.00010050e-12  5.05176706e-43 -1.00000000e-01 -7.50100500e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13 -1.00000000e-01 -2.50100994e-13 -1.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13 -1.00000000e-01 -7.50101000e-13 -2.50100494e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50100100e-13 -1.00000000e-01 -1.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12 -1.00000000e-01 -1.00000000e-01  3.71903848e-40 -1.00000000e-01 -1.00000000e-01 -5.00101000e-13 -2.50100994e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50100994e-13 -1.00000000e-01 -1.00000000e-01 -1.00010100e-12 -7.50100100e-13 -1.00000000e-01 -5.00100100e-13 -1.00010050e-12 -1.00000000e-01 -5.00100500e-13 -1.00000000e-01 -1.00000000e-01 -2.50100094e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50100500e-13 -1.00000000e-01 -1.00000000e-01 -5.00100500e-13 -5.00101000e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.62982911e-43 -1.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50101000e-13 -1.00000000e-01 -1.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
-2.77555756e-17 -2.77555756e-17  1.68194988e-48  4.51726338e-42 -5.00100500e-13 -2.77555756e-17 -2.77555756e-17 -1.00010050e-12  5.05176706e-43 -2.77555756e-17 -7.50100500e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13 -2.77555756e-17 -2.50100994e-13 -2.77555756e-17 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13 -2.77555756e-17 -7.50101000e-13 -2.50100494e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50100100e-13 -2.77555756e-17 -2.77555756e-17 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12 -2.77555756e-17 -2.77555756e-17  3.71903848e-40 -2.77555756e-17 -2.77555756e-17 -5.00101000e-13 -2.50100994e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50100994e-13 -2.77555756e-17 -2.77555756e-17 -1.00010100e-12 -7.50100100e-13 -2.77555756e-17 -5.00100100e-13 -1.00010050e-12 -2.77555756e-17 -5.00100500e-13 -2.77555756e-17 -2.77555756e-17 -2.50100094e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50100500e-13 -2.77555756e-17 -2.77555756e-17 -5.00100500e-13 -5.00101000e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  4.62982911e-43 -2.77555756e-17 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50101000e-13 -2.77555756e-17 -2.77555756e-17 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
 1.00000000e-01  1.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13  1.00000000e-01  1.00000000e-01 -1.00010050e-12  5.05176706e-43  1.00000000e-01 -7.50100500e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13  1.00000000e-01 -2.50100994e-13  1.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13  1.00000000e-01 -7.50101000e-13 -2.50100494e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.50100100e-13  1.00000000e-01  1.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12  1.00000000e-01  1.00000000e-01  3.71903848e-40  1.00000000e-01  1.00000000e-01 -5.00101000e-13 -2.50100994e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.50100994e-13  1.00000000e-01  1.00000000e-01 -1.00010100e-12 -7.50100100e-13  1.00000000e-01 -5.00100100e-13 -1.00010050e-12  1.00000000e-01 -5.00100500e-13  1.00000000e-01  1.00000000e-01 -2.50100094e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.50100500e-13  1.00000000e-01  1.00000000e-01 -5.00100500e-13 -5.00101000e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  4.62982911e-43  1.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.50101000e-13  1.00000000e-01  1.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
 2.00000000e-01  2.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13  2.00000000e-01  2.00000000e-01 -1.00010050e-12  5.05176706e-43  2.00000000e-01 -7.50100500e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13  2.00000000e-01 -2.50100994e-13  2.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13  2.00000000e-01 -7.50101000e-13 -2.50100494e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.50100100e-13  2.00000000e-01  2.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12  2.00000000e-01  2.00000000e-01  3.71903848e-40  2.00000000e-01  2.00000000e-01 -5.00101000e-13 -2.50100994e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.50100994e-13  2.00000000e-01  2.00000000e-01 -1.00010100e-12 -7.50100100e-13  2.00000000e-01 -5.00100100e-13 -1.00010050e-12  2.00000000e-01 -5.00100500e-13  2.00000000e-01  2.00000000e-01 -2.50100094e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.50100500e-13  2.00000000e-01  2.00000000e-01 -5.00100500e-13 -5.00101000e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  4.62982911e-43  2.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.50101000e-13  2.00000000e-01  2.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
 3.00000000e-01  3.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13  3.00000000e-01  3.00000000e-01 -1.00010050e-12  5.05176706e-43  3.00000000e-01 -7.50100500e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13  3.00000000e-01 -2.50100994e-13  3.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13  3.00000000e-01 -7.50101000e-13 -2.50100494e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -7.50100100e-13  3.00000000e-01  3.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12  3.00000000e-01  3.00000000e-01  3.71903848e-40  3.00000000e-01  3.00000000e-01 -5.00101000e-13 -2.50100994e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -2.50100994e-13  3.00000000e-01  3.00000000e-01 -1.00010100e-12 -7.50100100e-13  3.00000000e-01 -5.00100100e-13 -1.00010050e-12  3.00000000e-01 -5.00100500e-13  3.00000000e-01  3.00000000e-01 -2.50100094e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -7.50100500e-13  3.00000000e-01  3.00000000e-01 -5.00100500e-13 -5.00101000e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.62982911e-43  3.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -7.50101000e-13  3.00000000e-01  3.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
 4.00000000e-01  4.00000000e-01  1.68194988e-48  4.51726338e-42 -5.00100500e-13  4.00000000e-01  4.00000000e-01 -1.00010050e-12  5.05176706e-43  4.00000000e-01 -7.50100500e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.67568381e-41  4.92699911e-42 -1.00010100e-12 -1.00010010e-12 -2.50100494e-13 -7.50100500e-13  4.00000000e-01 -2.50100994e-13  4.00000000e-01 -5.00100500e-13 -7.50100500e-13  4.05530154e-40 -7.50101000e-13 -2.50100094e-13  4.00000000e-01 -7.50101000e-13 -2.50100494e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -7.50100100e-13  4.00000000e-01  4.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00101000e-13 -2.50100994e-13  1.82791131e-41 -1.00010050e-12  4.00000000e-01  4.00000000e-01  3.71903848e-40  4.00000000e-01  4.00000000e-01 -5.00101000e-13 -2.50100994e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -2.50100994e-13  4.00000000e-01  4.00000000e-01 -1.00010100e-12 -7.50100100e-13  4.00000000e-01 -5.00100100e-13 -1.00010050e-12  4.00000000e-01 -5.00100500e-13  4.00000000e-01  4.00000000e-01 -2.50100094e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -7.50100500e-13  4.00000000e-01  4.00000000e-01 -5.00100500e-13 -5.00101000e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.62982911e-43  4.00000000e-01 -2.50100494e-13 -1.00010100e-12  1.84652768e-48 -5.00100100e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -7.50101000e-13  4.00000000e-01  4.00000000e-01 -1.00010010e-12 -1.00010100e-12 -5.00101000e-13 -1.00010050e-12 
